hour,day,weekday,endpoint,endpoint_encoded,requests,avg_response_time,error_rate
5,14,1,/ai/dashboard,1,129,0.005922863875968992,0.0
6,13,0,/,0,1,0.00257492,0.0
6,13,0,/docs,2,1,0.00197768,0.0
6,13,0,/health,3,1,0.00178218,0.0
6,13,0,/openapi.json,4,1,0.0463719,0.0
6,14,1,/ai/dashboard,1,230,0.011185177826086955,0.0
7,13,0,/ai/dashboard,1,4,0.0332120575,0.0
7,14,1,/ai/dashboard,1,430,0.02302900372093023,0.0
8,14,1,/ai/dashboard,1,10,0.028759999999999997,0.0
12,13,0,/ai/dashboard,1,12,0.03348044333333333,0.0
16,13,0,/ai/dashboard,1,1,0.0230529,0.0
16,13,0,/docs,2,1,0.017731,0.0
16,13,0,/openapi.json,4,1,0.179981,0.0
